Country,ISO Code,url,GDP,Population,Population growth rate,Exports,Current account balance,Imports,Mean Elevation (m),Coastline (km),Irrigated Land (sq km),Total area,Age structure - 0-14 years Rate,Age structure - 15-64 years Rate,Age structure - 65 years and over Rate,Total dependency ratio,Youth dependency ratio,Elderly dependency ratio,Potential support ratio,Median age,Median age - male,Median age - female,Birth rate/1000 people,Death rate/1000 people,Net migration rate/1000 people,Urban Population ratio,Urban population growth rate,Sex ratio at birth(male/female),Sex ratio 0-14 years(male/female),Sex ratio 15-64 years(male/female),Sex ratio 65 years and over(male/female),Sex ratio - total population(male/female),Mother's mean age at first birth,"Maternal mortality ratio (deaths/100,000 live births)",Infant mortality rate (per 1000 live births),Infant mortality rate - male,Infant mortality rate - female,Life expectancy at birth (years),Life expectancy at birth - male,Life expectancy at birth - female,Fertility rate (children born/women),Gross reproduction rate,Contraceptive prevalence rate,Improved Drinking Access Urban,Improved Drinking Access Rural,Improved Drinking Access Total,Unimproved Drinking Access Urban,Unimproved Drinking Access Rural,Unimproved Drinking Access Total,Current health expenditure (% of GDP),Physicians density (per 1000 people),Hospital bed density (beds per 1000 people),Improved Sanitation Access Urban,Improved Sanitation Access Rural,Improved Sanitation Access Total,Unimproved Sanitation Access Urban,Unimproved Sanitation Access Rural,Unimproved Sanitation Access Total,Obesity - adult prevalence rate,Alcohol consumption per capita (liters of pure alcohol),Alcohol consumption per capita - beer (liters of pure alcohol),Alcohol consumption per capita - wind (liters of pure alcohol),Alcohol consumption per capita - spirits (liters of pure alcohol),Alcohol consumption per capita - other alcohols (liters of pure alcohol),Tobacco use rate,Tobacco use rate - male,Tobacco use rate - female,Children under 5 years underweight rate,Married women (ages 15-49) rate,Women married by age 15 rate,Women married by age 18 rate,Education expenditures (% of GDP),Literacy rate,Literacy rate - male,Literacy rate - female,School life expectancy,School life expectancy - male,School life expectancy - female,Youth unemployment rate (ages 15-24),Youth unemployment rate (ages 15-24) - male,Youth unemployment rate (ages 15-24) - female,Forest land (% of land area),Agricultural land (% of land area),Other land (% of land area),Revenue from forest resources (% of GDP),Revenue from coal (% of GDP),Particulate matter emissions (micrograms per cubic meter),Carbon dioxide emissions (megatons),Methane emissions (megatons),Annual municipal solid waste (tons),Municipal water withdrawal (cubic meters),Industrial water withdrawal (cubic meters),Agricultural water withdrawal (cubic meters),Renewable water resources (cubic meters),GDP growth rate,GDP per capita growth rate,GDP (official exchange rate),Inflation rate,GDP by sector agriculture composition,GDP by sector industry composition,GDP by sector services composition,GDP by end use household composition,GDP by end use government composition,GDP by end use fixed capital investment composition,GDP by end use inventories investment composition,GDP by end use exports composition,GDP by end use - imports composition,Industrial production growth rate,Labor force,Agriculture labor force,Industry labor force,Services labor force,Unemployment rate,Population below poverty line,Gini Index coefficient,Household income(Lowest 10%) by percentage share,Household income(Highest 10%) by percentage share,Revenues,Expenditures,Budget Balance (% of GDP),Public debt (% of GDP),Taxes and other revenues (% of GDP),Current account balance (% of GDP),Currency and gold reserves,External debt,Exchange rates to USD,Electricity access rate,Electricity access rate - rural,Electricity access rate - urban,Electricity installed capacity (kW),Electricity consumption (kWh),Electricity exports (kWh),Electricity imports (kWh),Electricity transmission losses (kWh),Electricity fossil fuel generation (% of total capacity),Electricity nuclear generation (% of total capacity),Electricity hydro generation (% of total capacity),Electricity wind generation (% of total capacity),Electricity solar generation (% of total capacity),Electricity geothermal generation (% of total capacity),Electricity tide and wave generation,Electricity biomass and waste generation (% of total capacity),Coal production (metric tons),Coal consumption (metric tons),Coal exports (metric tons),Coal imports (metric tons),Coal reserves (metric tons),Petroleum production (bbl/day),Petroleum consumption (bbl/day),Petroleum exports (bbl/day),Petroleum imports (bbl/day),Refined petroleum products production (bbl/day),Refined petroleum products exports (bbl/day),Refined petroleum products imports (bbl/day),Natural gas production (cubic meters),Natural gas consumption (cubic meters),Natural gas exports (cubic meters),Natural gas imports (cubic meters),Natural gas reserves (cubic meters),Energy: Carbon dioxide emissions (metric tonnes),Coal emissions (metric tonnes),Petroleum emissions (metric tonnes),Gas emissions (metric tonnes),Energy consumption per capita (Btu/preson),Telephone fixed line subscriptions (per 100 people),Telephone mobile subscriptions (per 100 people),Internet users/total population,Broadband fixed subscriptions (per 100 people),Registered air carriers,Inventory of registered aircraft,Annual passenger traffic on air carriers,Annual freight traffic on air carriers (mt-km),Airports,Airports with paved runways,Airports with unpaved runways,Heliports,Total Roadways (km),Paved Roadways (km),Unpaved Roadways (km),Military expenditures (% of GDP)
Mali,MLI,https://www.cia.gov/the-world-factbook/countries/mali/,46452000000.0,21359722,2.93,4442000000.0,836255000.0,6559000000.0,343.0,0.0,3780.0,1240192.0,47.05,49.88,3.07,99.3,94.5,4.9,20.6,16.3,15.6,17,40.5,8.3,-3,46.2,4.57,1.03,1.01,0.89,0.97,0.95,19.2,440,59,64.3,53.5,62.8,60.6,65.1,5.45,2.68,17.2,99.9,75.9,86.4,0.1,24.1,13.6,4.3,0.13,0.1,85.7,44.7,62.7,14.3,55.3,37.3,8.6,0.6,0.09,0,0.02,0.49,8.3,15.6,1,18.5,77.9,15.9,53.7,4.4,35.5,46.2,25.7,7,8,7,17.3,15.4,19.8,10.2,34.1,55.7,2.02,0,38.55,3.18,19.16,1937354 tons,110000000.0,4000000.0,5080000000.0,120000000000.0,3.05,2100,17508000000.0,3.93,41.8,18.1,40.5,82.9,17.4,19.3,-0.7,22.1,-41.1,1.01,7900000.0,80,nan,nan,7.72,42.1,36.1,3.5,25.8,2657000000.0,3467000000.0,-2.9,35.4,14.16,-379683000.0,647800000.0,4192000000.0,554.531,53.3,18.2,96.8,890000 kW,2620980000 kWh,550000000.0,200000000.0,346000000.0,67.4,0,29.7,0,1,0,0,1.9,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0,37600,0,0,0,0,20610,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,5679000.0,0 metric tonnes of CO2,5679000.0,0 metric tonnes of CO2,4396000.0,1,100,34,1,0,,nan,nan,25,8,17,2,139107 km,(2009),(2009),3.5
Malta,MLT,https://www.cia.gov/the-world-factbook/countries/malta/,23157000000.0,467138,0.59,20773000000.0,415142000.0,18578000000.0,,56.0,35.0,316.0,14.53,62.83,22.65,47.1,19.3,27.7,3.6,43.2,42.1,44.4,9.6,8.6,5,94.9,0.28,1.04,1.06,1.07,0.86,1.02,29.3,3,4.5,4.4,4.5,83.4,81.3,85.6,1.51,0.74,nan,100,100,100,0,0,0,10.8,2.86,4.5,100,100,100,0,0,0,28.9,8.07,2.8,2.34,2.51,0.42,24,26.4,21.6,nan,63.2,nan,nan,5.9,94.9,93.4,96.4,17,17,18,9.8,13.6,5.8,0.9,32.3,66.8,0,0,12.93,1.34,0.2,269000 tons,40000000.0,1000000.0,20000000.0,50000000.0,10.3,44700,14986000000.0,1.5,1.1,10.2,88.7,45.2,15.3,21.1,0.3,136.1,-117.9,-3.3,280300,1.6,20.7,77.7,3.5,17.1,31,nan,nan,5661000000.0,5586000000.0,3.9,50.7,23.73,-804056000.0,1149000000.0,98179000000.0,0.845,100,nan,nan,784000 kW,2497143000 kWh,4000000.0,420000000.0,158000000.0,88.5,0,0,0,11.2,0,0,0.3,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0,54000,0,0,0,10400,52290,0 cubic meters,415606000.0,0 cubic meters,415606000.0,0 cubic meters,9576000.0,0 metric tonnes of CO2,8831000.0,745000 metric tonnes of CO2,267738999.99999997,49,122,87,48,13,180,2576898,5140000.0,1,1,nan,2,3096 km,2704 km,392 km,0.8
Marshall Islands,MHL,https://www.cia.gov/the-world-factbook/countries/marshall-islands/,250694000.0,80966,1.3,1370000000.0,1182000.0,10700000000.0,2.0,,0.0,181.0,30.65,63.83,5.52,59.9,53,6.8,14.7,25.1,25,25.2,21.6,4.3,-4.3,78.9,0.61,1.05,1.04,1.03,0.96,1.03,nan,nan,21.1,24.6,17.5,74.9,72.7,77.3,2.72,1.33,nan,100,99.8,100,0,0.2,0,13,0.42,2.7,96.6,65.4,89.7,3.4,34.6,10.3,52.9,nan,nan,nan,nan,nan,28.5,48.7,8.3,11.9,68.3,nan,nan,13.6,98.3,98.3,98.2,10,10,10,26,31,14.2,49.3,50.7,0,0,nan,7.21,0.14,0.03,8614 tons,nan,nan,nan,0 cubic meters,1.11,6000,222000000.0,0,4.4,9.9,85.7,nan,50,17.8,0.2,52.9,-102.3,-3.66,10670,11,16.3,72.7,36,nan,35.5,nan,nan,148000000.0,153000000.0,1.3,41.71,17.16,-1182000.0,nan,97960000.0,nan,99.7,92,96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,2060,nan,nan,nan,nan,nan,293700 metric tonnes of CO2,nan,nan,nan,nan,5,38,38.7,2,1,3,24313,130000,15,4,11,nan,2028 km,75 km,1953 km,nan
Mauritania,MRT,https://www.cia.gov/the-world-factbook/countries/mauritania/,24494000000.0,4244878,1.96,2525000000.0,831106000.0,3683000000.0,276.0,754.0,450.0,1030700.0,36.11,59.58,4.31,82.7,76.8,6,16.8,21.9,20.9,22.8,27.6,7.3,-0.7,57.7,3.84,1.03,1.01,0.9,0.73,0.93,21.8,465,50,55.8,43.9,65.6,63.1,68.1,3.46,1.71,11.5,98.7,68.4,85.2,1.3,31.6,14.8,3.4,0.19,nan,83.5,25.2,57.5,16.5,74.8,42.5,12.7,0,0,0,0,0,10.7,19.3,2.1,22.4,66,15.5,36.6,1.9,67,71.8,62.2,9,8,9,23,20.8,27.9,0.2,38.5,61.3,1.3,0,41.98,2.74,6.16,454000 tons,100000000.0,30000000.0,1200000000.0,11400000000.0,2.45,5300,706000000.0,3.57,27.8,29.3,42.9,64.9,21.8,56.1,-3.2,39,-78.6,-6.61,1197000.0,50,1.9,48.1,11.46,31,32.6,2.5,29.5,1617000000.0,1407000000.0,-0.8,96.6,27.4,-807862000.0,2039000000.0000002,4150000000.0000005,36.063,47.6,1,89.6,656000 kW,1577000000.0,0 kWh,0 kWh,245000000.0,73.2,0,11.9,6.8,8.1,0,0,0,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0,27500,4800,0,0,0,17290,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,28317000000.0,4041000.0000000005,0 metric tonnes of CO2,4041000.0000000005,0 metric tonnes of CO2,13558000.0,1,141,59,0.4,1,6,454435,nan,30,9,21,nan,12253 km,3988 km,8265 km,2.5
Mauritius,MUS,https://www.cia.gov/the-world-factbook/countries/mauritius/,26547000000.0,1309448,0.09,5258000000.0,718495000.0,7365000000.0,,177.0,158.0,2040.0,15.3,71.35,13.36,40.7,23.4,17.3,5.8,39.3,37.8,40.6,9.8,9,0,40.9,0.28,1.07,1.04,0.99,0.7,0.95,nan,84,11.8,13.4,10.2,75.1,72.3,78.1,1.35,0.65,63.8,99.9,99.8,99.9,0.1,0.2,0.1,6.7,2.71,3.7,99.9,,,0.1,,,10.8,3.39,1.94,0.23,0.88,0.03,20.2,37.3,3,nan,62,nan,nan,4.9,92.2,93.5,90.5,15,14,16,25.3,19.7,32.9,17.3,43.8,38.9,0,0,10.48,4.35,2.06,438000 tons,290000000.0,10000000.0,310000000.0,2750000000.0,3.7,21000,14004000000.0,4.03,4,21.8,74.1,81,15.1,17.3,-0.4,42.1,-55.1,20.88,597900,8,29.8,62.2,7.41,10.3,36.8,nan,nan,2461000000.0,3675000000.0,-0.3,57.96,20.72,-1527000000.0,8563000000.000001,226799000000.0,41.692,99.6,99.8,99.2,936000 kW,2904500000 kWh,0 kWh,0 kWh,182400000.0,75.4,0,3.7,0.7,5.3,0,0,15,0 metric tons,661000 metric tons,0 metric tons,1189000.0,0 metric tons,0,36700,0,0,0,0,26960,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,7191000.0,1595000.0,5596000.0,0 metric tonnes of CO2,79448000.0,36,152,68,25,1,13,1745291,233720000.0,5,2,3,nan,2428 km,2379 km,49 km,(2022)(2021)(2020)(2019)(2018)
Mexico,MEX,https://www.cia.gov/the-world-factbook/countries/mexico/,2418000000000.0,129875529,0.61,492657000000.0,4817000000.0,495391000000.0,1111.0,9330.0,60620.0,1964375.0,23.76,68.22,8.02,49.4,37.3,12.2,8.2,30.6,28.9,32.3,14,7.1,-0.8,81.6,1.4,1.05,1.06,0.95,0.78,0.96,21.3,59,12,13.2,10.7,73.5,70.3,76.8,1.73,0.85,73.1,100,98.3,99.7,0,1.7,0.3,6.2,2.43,1,99.9,96.4,99.2,0.1,3.6,0.8,28.9,4.25,3.72,0.19,0.19,0.15,13.1,19.9,6.2,4.2,56.6,3.6,20.7,4.3,95.2,96.1,94.5,15,15,15,8.1,7.9,8.6,33.3,54.9,11.8,0.1,0.03,17.83,486.41,135.77,53100000.0,13170000000.0,8560000000.000001,67830000000.0,461890000000.0,4.72,19100,1269956000000,5.69,3.6,31.9,64.5,67,11.8,22.3,0.8,37.8,-39.7,5.44,56132000.0,13.4,24.1,61.9,4.38,41.9,45.4,2,40,264261000000.00003,313358000000.0,-1.1,54.3,14.29,-4817000000.0,207799000000.0,456713000000.0,20.272,100,nan,nan,93430000.0,267339999999.99997,5954000000.0,9965000000.0,42121000000.0,75.7,3.6,7.6,6.5,4.4,1.5,0,0.8,9886000.0,10241000.0,3000 metric tons,5182000.0,1211000000.0,1905500,1928800,1283300,3900,844600,155800,867500,27037730000 cubic meters,86101223000 cubic meters,53037000.0,59119362000 cubic meters,180321000000.0,463739000.0,43240000.0,260310999.99999997,160188000.0,61597000.0,19,98,76,17,16,370,64569640,1090380000,1714,243,1471,1,704884 km,175526 km,529358 km,0.7
"Micronesia, Federated States of",FSM,https://www.cia.gov/the-world-factbook/countries/micronesia-federated-states-of/,375055000.0,100319,-0.7,179000000.0,12000000.0,126000000.0,,6112.0,0.0,702.0,27.41,67.13,5.46,57.7,48.4,9.3,10.8,27.8,26.9,28.6,18.1,4.2,-20.9,23.4,1.52,1.05,1.03,0.94,0.8,0.96,nan,74,21.4,24.4,18.2,74.7,72.6,76.9,2.22,1.08,nan,78.6,,,21.4,,,11.6,(2020),3.2,88.3,,,11.7,,,45.8,1.59,0.92,0.13,0.52,0.01,nan,nan,nan,nan,51.7,nan,nan,9.7,nan,nan,nan,nan,nan,nan,18.9,10.4,29.9,74.5,25.5,0,0.02,nan,7.79,0.14,0.02,26040 tons,nan,nan,nan,0 cubic meters,-3.19,3300,328000000.0,0.55,26.3,18.9,54.8,83.5,48.4,29.5,1.9,27.5,-77,-8.33,37920,0.9,5.2,93.9,16.2,41.2,40.1,nan,nan,320000000.0,223000000.0,6.6,25.4,6.43,12000000.0,497434100,93600000.0,nan,83.6,79.4,97.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0 metric tons,0 metric tons,0 metric tons,0 metric tons,nan,nan,1200,nan,nan,0,0,nan,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,177000 metric tonnes of CO2,0 metric tonnes of CO2,177000 metric tonnes of CO2,0 metric tonnes of CO2,0 Btu/person,6,19,40,5,nan,,nan,nan,6,6,nan,nan,(2015),(2015),(2015)note - paved and unpaved circumferential roads most interior roads are unpaved,nan
Midway Islands,UMI,https://www.cia.gov/the-world-factbook/countries/midway-islands/,,,nan,,,,,,,,nan,nan,nan,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,nan,nan,nan,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,note,nan,nan,nan,nan,nan,nan
Moldova,MDA,https://www.cia.gov/the-world-factbook/countries/moldova/,36637000000.0,3250532,-0.58,3662000000.0,1106000000.0,6608000000.0,139.0,0.0,2155.0,33851.0,18.01,66.37,15.62,39.6,29.7,20.4,4.9,39.4,38.1,40.8,8.6,14.4,0,43.4,0.09,1.07,1.06,1.02,0.67,0.89,25.2,12,14.1,16.3,11.8,69.7,65.8,73.9,1.25,0.6,56,98.9,87,92.1,1.1,13,7.9,6.8,3.1,5.7,99,83.1,89.9,1,16.9,10.1,18.9,7.45,1.53,3.57,2.25,0.1,29,51.7,6.2,nan,67,nan,nan,6.4,99.6,99.7,99.5,14,14,15,8.6,5.3,14.7,11.9,74.9,13.2,0.26,0,12.37,5.12,3.29,3981200 tons,160000000.0,580000000.0,60000000.0,12270000000.0,13.94,14000,11982000000.0,5.11,17.7,20.3,62,85.8,19,21.9,1.4,42.5,-70.7,-0.67,810000,32.3,12,55.7,3.96,7.3,26,4.2,22.1,3582000000.0,3754000000.0,-0.6,33.01,17.41,-1699000000.0,3902000000.0,7232000000.0,17.68,100,nan,nan,594000 kW,4591000000.0,0 kWh,629000000.0,571000000.0,93.6,0,4.5,1.2,0.1,0,0,0.6,0 metric tons,133000 metric tons,0 metric tons,133000 metric tons,0 metric tons,0,22000,0,0,232,275,18160,57000 cubic meters,2802000000.0,0 cubic meters,2802000000.0,0 cubic meters,8114000.000000001,374000 metric tonnes of CO2,2968000.0,4773000.0,40398000.0,33,127,61,18,6,21,1135999,640000,7,5,2,nan,9352 km,8835 km,517 km,0.4
Monaco,MCO,https://www.cia.gov/the-world-factbook/countries/monaco/,7672000000.0,31597,0.66,964600000.0,,1371000000.0,,,0.0,2.0,9.4,54.42,36.18,95.2,25,70.2,1.4,56.2,54.5,57.6,6.6,10.9,10.9,100,0.5,1.04,1.05,1.01,0.81,0.94,nan,nan,1.8,2.1,1.4,89.6,85.8,93.6,1.53,0.75,nan,100,100,,0,0,,1.7,7.51,13.8,100,100,,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2,nan,nan,nan,nan,nan,nan,26.6,25.7,27.9,0,1,99,0,nan,9.21,nan,0.05,46000 tons,10000000.0,0 cubic meters,0 cubic meters,nan,21.55,115700,6006000000.0,1.5,0,14,86,nan,nan,nan,nan,nan,nan,6.8,52000,0,16.1,83.9,2,nan,nan,nan,nan,896300000.0,953600000.0,-1,nan,14.9,nan,nan, NA,0.885,100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,117,99,86,53,nan,,nan,nan,nan,nan,nan,1,(2010),(2010),nan,nan
Mongolia,MNG,https://www.cia.gov/the-world-factbook/countries/mongolia/,39063000000.0,3255468,0.83,8416000000.0,2162000000.0,9249000000.0,1528.0,0.0,602.0,1564116.0,26.16,68.24,5.6,58.4,51.4,7,14.3,31.2,29.9,32.2,15.4,6.3,-0.8,69.1,1.4,1.05,1.04,0.94,0.67,0.95,20.5,39,19.8,22.8,16.6,71.7,67.5,76,1.89,0.92,48.1,98.4,64.2,87.6,1.6,35.8,12.4,4.9,3.85,8,97.4,69.9,88.8,2.6,30.1,11.2,20.6,5.46,2.18,1.46,1.82,0,29.4,51.7,7.1,1.8,58.9,0.9,12,4.7,99.2,99.1,99.2,15,14,16,21,20.1,22.4,7,73,20,0.14,8.62,41.3,25.37,13.72,2900000.0,50000000.0,170000000.0,250000000.0,34800000000.0,1.64,11700,11140000000.0,7.35,12.1,38.2,49.7,49.2,12.3,23.8,12.4,59.5,-57.1,-2.22,1331000.0,31.1,18.5,50.5,7.08,28.4,32.7,13.7,5.7,3699000000.0,4979000000.0,-6.4,73.94,14.15,-2108000000.0,4380000000.0,29945000000.0,2849.289,100,nan,nan,1479000.0,7336520000 kWh,24000000.0,1723000000.0,892000000.0,89.2,0,1.3,8.1,1.3,0,0,0,43904000.0,8818000.0,28551000.0,1000 metric tons,2520000000.0,16700,35800,14700,0,0,0,24190,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,22740000.0,17445000.0,5295000.0,0 metric tonnes of CO2,83045000.0,12,140,84,9,4,12,670360,7820000.0,44,15,29,1,113200 km,10600 km,102600 km,0.6
Montenegro,MNE,https://www.cia.gov/the-world-factbook/countries/montenegro/,12757000000.0,602445,-0.43,2424000000.0,796134000.0,3600000000.0,1086.0,,24.0,13812.0,17.93,64.65,17.42,52.5,27.7,24.8,4,40.7,39.2,42.2,11,10.3,-5,68.5,0.45,1.04,1.06,1,0.78,0.97,26.3,6,3.2,2.7,3.7,78,75.6,80.5,1.81,0.89,20.7,100,98.2,99.4,0,1.8,0.6,11.4,2.74,3.9,100,93.9,98,0,6.1,2,23.3,9.91,3.83,2.68,3.22,0.16,31.4,31.6,31.1,3.7,57.1,1.9,5.8,nan,99,99.4,98.5,15,15,16,31.6,28.3,36.7,40.4,38.2,21.4,0.43,0.12,19.3,2.02,0.75,332000 tons,100000000.0,60000000.0,1700000.0,nan,12.43,20600,5486000000.0,2.41,7.5,15.9,76.6,76.8,19.6,23.2,2.9,40.5,-63,1.39,277400,7.9,17.1,75,18.49,24.5,36.8,3.5,25.7,2051000000.0000002,2568000000.0,-5.6,67.2,37.2,-540073000.0,1982000000.0,2516000000.0,0.845,99.7,99.3,100,1006999.9999999999,3246760000 kWh,943000000.0,1196000000.0,493000000.0,42.3,0,47.2,10.5,0,0,0,0,1456000.0,1351000.0,96000 metric tons,1000 metric tons,142000000.0,0,7600,0,0,0,357,6448,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,2447000.0,1333000.0,1114000.0,0 metric tonnes of CO2,77286000.0,30,178,82,29,1,4,565522,130000,5,5,nan,1,7762 km,7141 km,621 km,1.9
Montserrat,MSR,https://www.cia.gov/the-world-factbook/countries/montserrat/,167400000.0,5440,0.46,11900000.0,12200000.0,15300000.0,,40.0,0.0,102.0,15.92,76.6,7.48,43.9,19.2,24.7,4,36.4,35.1,37.3,10.7,6.1,0,9.3,0.94,1.07,1.06,0.97,1.14,1,nan,nan,10,8.2,12,75.9,76.8,75,1.32,0.62,nan,98.1,,,1.9,,,nan,nan,nan,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.8,nan,nan,5.4,nan,nan,nan,14,13,15,nan,nan,nan,25,30,45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.4,34000,167400000.0,1.2,1.9,7.8,90.3,90.8,50.4,17.9,-0.1,29.5,-88.6,-21,4521,1.4,12.7,85.9,5.6,nan,nan,nan,nan,66670000.0,47040000.0,nan,nan,nan,-15400000.0,47580000.0,8900000.0,2.7,100,nan,nan,5000 kW,21560000.0,0 kWh,0 kWh,1000000.0,100,0,0,0,0,0,0,0,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0,200,0,0,0,0,406,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,33000 metric tonnes of CO2,0 metric tonnes of CO2,33000 metric tonnes of CO2,0 metric tonnes of CO2,0 Btu/person,67,110,56.2,55,1,3,nan,nan,1,1,nan,nan,nan,nan,nan,nan
Morocco,MAR,https://www.cia.gov/the-world-factbook/countries/morocco/,303336000000.0,37067420,0.88,44048000000.0,4407000000.0,54097000000.0,909.0,2945.0,17645.0,716550.0,26.01,65.92,8.06,52.2,40.9,11.3,8.9,30.2,29.8,30.7,17.1,6.6,-1.7,65.1,1.88,1.05,1.04,0.98,0.95,1,nan,72,18.7,20.9,16.4,74,72.3,75.7,2.27,1.11,70.8,98.3,79.1,91,1.7,20.9,9,6,0.73,1,98.2,72.4,88.8,1.8,27.6,11.2,26.1,0.51,0.18,0.24,0.09,0,14.5,28.2,0.8,2.8,58.8,0.5,13.7,6.8,75.9,84.8,67.4,14,14,14,27.2,26.7,28.7,11.5,67.5,21,0.13,0,13.44,61.28,17.16,6852000.0,1060000000.0,210000000.0,9160000000.0,29000000000.0,7.93,8100,118858000000.0,1.4,14,29.5,56.5,58,18.9,28.4,4.2,37.1,-46.6,6.84,11814000.0,39.1,20.3,40.5,11.47,4.8,39.5,2.7,33.2,30697000000.0,35591000000.0,-3.6,65.1,20.02,-3261000000.0,35648000000.0,52957000000.0,8.988,100,nan,nan,14187000.0,29447883000 kWh,624000000.0,856000000.0,6703000000.0,81.6,0,4.4,13,1.1,0,0,0,0 metric tons,9321000.0,0 metric tons,9321000.0,14000000.0,0,307500,0,0,66230,9504,229300,105678000.0,1051658000 cubic meters,0 cubic meters,950765000.0,1444000000.0,60200000.0,20267000.0,37834000.0,2099000.0,24590000.0,7,139,88,6,3,76,8132917,97710000.0,62,36,26,1,57300 km,nan,nan,4.5
Mozambique,MOZ,https://www.cia.gov/the-world-factbook/countries/mozambique/,39351000000.0,32513805,2.55,5600000000.0,2934000000.0,9503000000.0,345.0,2470.0,1180.0,799380.0,45,52.1,2.9,86.1,81.3,4.8,20.8,17.2,16.6,17.8,36.9,9.9,-1.5,38.8,4.24,1.03,1.03,0.93,0.96,0.97,19.2,127,59.8,61.7,57.8,57.7,56.4,59,4.74,2.33,27.1,93.4,61.5,73.3,6.6,38.5,26.7,7.6,0.09,0.7,71.9,24.7,42.2,28.1,75.3,57.8,7.2,1.46,1.03,0.22,0.21,0,14.3,23,5.6,14.6,63.7,nan,nan,6.3,63.4,74.1,53.8,10,10,9,8.1,8.1,8.2,43.7,56.3,0,6.46,4.17,16.45,7.94,16.26,2500000.0,370000000.0,30000000.0,1080000000.0,217100000000.0,2.36,1200,14964000000.0,5.69,23.9,19.3,56.8,69.7,27.2,21.7,13.9,38.3,-70.6,-0.42,14137000.0,74.4,3.9,21.7,3.98,46.1,54,1.9,36.7,4569000000.0,4591000000.0,-5.6,102.88,21.84,-3601000000.0,67510000000.00001,10910000000.0,65.465,31.4,3.8,77.3,2765000.0,12724100000 kWh,10771000000.0,8276000000.0,2768000000.0,19.6,0,79.6,0,0.2,0,0,0.6,7250000.0,46000 metric tons,8355000.0,48000 metric tons,1792000000.0,0,35400,0,0,0,0,25130,5423828000 cubic meters,1397604000 cubic meters,4067255000 cubic meters,0 cubic meters,2831680000000 cubic meters,7753000.0,109000 metric tonnes of CO2,4743000.0,2901000.0,8106999.999999999,(2021,43,17,0.2,2,11,540124,4780000.0,98,21,77,nan,31083 km,7365 km,23718 km,1.2
